WELLNUM,Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,P5um,N5um,E5um,Pnorm5,Nnorm5,Enorm5,T2a,T3a,T4a,T5a,T2norm,T3norm,T4norm,T5norm,E3um,N3um,P3um,Enorm3,Nnorm3,Pnorm3,E2um,N2um,P2um,Enorm2,Nnorm2,Pnorm2,,,Enorm2,Nnorm2,Pnorm2
11,1204,3954,4130,3957,5847,6040,5588,6996,7075,6730,7263,7141,7398,3661,3740,3828,5610,5839,5672,7034,7048,6440,7540,7417,7340,3306,3222,3216,4502,4406,4115,5037,4736,190,6152,5936,5593,5893.666667,7432.333333,7267.333333,0.011851016,0.186809269,0.11393958,4013.666667,5825,6933.666667,7267.333333,0.092333757,0.075419952,0.057520661,0.11393958,5825,5707,4341,0.075419952,0.229689808,0,4013.666667,3743,3248,0.092333757,0.213616715,0.004584152,,0.05324982,0.049875577,0.05091005,
12,1237,3964,4140,3937,5892,6031,5566,7000,7060,6751,7206,7137,7339,3650,3715,3786,5618,5805,5665,6961,7016,6331,7461,7352,7285,3324,3262,3209,4519,4444,4101,5051,4728,175,6134,5908,5625,5889,7366,7227.333333,0.009217457,0.151336898,0.095537494,4013.666667,5829.666667,6937,7227.333333,0.092333757,0.080219403,0.060826446,0.095537494,5829.666667,5696,4354.666667,0.080219403,0.221565731,0.01044586,4013.666667,3717,3265,0.092333757,0.185518732,0.037982973,,,,,
13,1270,3931,4095,3919,5896,6033,5562,6999,7098,6774,7177,7061,7303,3600,3707,3771,5518,5756,5607,6876,6931,6322,7385,7336,7206,3325,3218,3214,4526,4449,4135,5045,4733,182,6094,5914,5610,5872.666667,7309,7180.333333,0,0.120855615,0.073915044,3981.666667,5830.333333,6957,7180.333333,0.05167302,0.080905039,0.080661157,0.073915044,5830.333333,5627,4370,0.080905039,0.170605613,0.022165605,3981.666667,3692.666667,3252.333333,0.05167302,0.159221902,0.013097577,,,,,
14,1303,3945,4130,3959,5877,6023,5599,6999,7111,6780,7148,7049,7313,3587,3708,3755,5544,5735,5582,6897,6949,6303,7420,7310,7254,3321,3218,3219,4502,4433,4117,5039,4736,166,6138,5937,5588,5887.666667,7328,7170,0.008465011,0.131016043,0.069161172,4011.333333,5833,6963.333333,7170,0.089368911,0.083647583,0.086942149,0.069161172,5833,5620.333333,4350.666667,0.083647583,0.16568193,0.007388535,4011.333333,3683.333333,3252.666667,0.089368911,0.149135447,0.013752456,,Varying acma concentrations,,,
15,1336,3912,4112,3928,5866,5970,5591,7013,7071,6773,7120,7027,7273,3585,3683,3737,5515,5697,5531,6872,6880,6262,7374,7289,7213,3320,3248,3222,4518,4461,4135,5096,4773,177,6179,5967,5619,5921.666667,7292,7140,0.02765237,0.111764706,0.055359607,3984,5809,6952.333333,7140,0.054637865,0.05896469,0.076033058,0.055359607,5809,5581,4371.333333,0.05896469,0.136632201,0.023184713,3984,3668.333333,3263.333333,0.054637865,0.132925072,0.034708579,,T2norm,T3norm,T4norm,T5norm
16,1369,3926,4094,3955,5822,6025,5646,6994,7100,6812,7146,7000,7203,3602,3714,3757,5537,5718,5551,6871,6921,6259,7380,7312,7210,3311,3226,3209,4522,4449,4164,5096,4784,174,6138,5910,5637,5895,7300.666667,7116.333333,0.012603461,0.116399287,0.044471707,3991.666667,5831,6968.666667,7116.333333,0.0643795,0.081590675,0.092231405,0.044471707,5831,5602,4378.333333,0.081590675,0.152141802,0.028535032,3991.666667,3691,3248.666667,0.0643795,0.157420749,0.00589391,,0.047843833,0.047957719,0.045663898,0.05091005
17,1402,3941,4107,3952,5876,6040,5606,6986,7079,6816,7130,7038,7205,3543,3653,3708,5451,5653,5502,6808,6848,6245,7321,7169,7181,3340,3240,3231,4560,4482,4170,5055,4781,173,6148,6002,5610,5920,7223.666667,7124.333333,0.026711813,0.075222816,0.048152124,4000,5840.666667,6960.333333,7124.333333,0.074968234,0.091532396,0.083966942,0.048152124,5840.666667,5535.333333,4404,0.091532396,0.102904973,0.048152866,4000,3634.666667,3270.333333,0.074968234,0.096541787,0.048461035,,,,,
18,1435,3900,4102,3942,5862,6028,5631,6986,7060,6769,7082,6995,7245,3566,3678,3718,5472,5657,5527,6806,6846,6260,7332,7262,7144,3321,3256,3205,4580,4465,4172,5077,4778,168,6181,5995,5643,5939.666667,7246,7107.333333,0.037810384,0.087165775,0.040331238,3981.333333,5840.333333,6938.333333,7107.333333,0.051249471,0.091189578,0.06214876,0.040331238,5840.333333,5552,4405.666667,0.091189578,0.11521418,0.049426752,3981.333333,3654,3260.666667,0.051249471,0.117435159,0.029469548,,,,,
19,1468,3926,4124,3969,5853,6037,5611,7020,7007,6770,7040,6921,7221,3575,3669,3701,5497,5652,5493,6798,6853,6221,7335,7212,7110,3314,3245,3236,4602,4494,4178,5106,4799,175,6158,6008,5661,5942.333333,7219,7060.666667,0.039315275,0.072727273,0.018862138,4006.333333,5833.666667,6932.333333,7060.666667,0.083015671,0.084333219,0.056198347,0.018862138,5833.666667,5547.333333,4424.666667,0.084333219,0.111767602,0.063949045,4006.333333,3648.333333,3265,0.083015671,0.111311239,0.037982973,,,,,
20,1501,3921,4133,3970,5867,6066,5647,7041,7023,6787,7167,6964,7247,3580,3707,3692,5443,5632,5509,6830,6820,6264,7291,7233,7170,3322,3255,3219,4568,4487,4215,5118,4794,173,6193,6025,5622,5946.666667,7231.333333,7126,0.041760722,0.079322638,0.048918877,4008,5860,6950.333333,7126,0.085133418,0.111415838,0.074049587,0.048918877,5860,5528,4423.333333,0.111415838,0.097488922,0.062929936,4008,3659.666667,3265.333333,0.085133418,0.123559078,0.038637852,,,,,
21,1534,3933,4109,3957,5846,6053,5659,6962,7102,6757,7031,6963,7201,3541,3643,3671,5405,5605,5470,6749,6763,6217,7286,7194,7132,3318,3258,3238,4601,4517,4227,5173,4824,172,6227,6040,5679,5982,7204,7065,0.061700527,0.064705882,0.020855697,3999.666667,5852.666667,6940.333333,7065,0.074544684,0.103873843,0.064132231,0.020855697,5852.666667,5493.333333,4448.333333,0.103873843,0.071885771,0.082038217,3999.666667,3618.333333,3271.333333,0.074544684,0.07889049,0.050425671,,,,,
22,1567,3911,4099,3921,5782,6006,5559,6953,7099,6764,7053,6878,7128,3544,3647,3696,5455,5609,5471,6814,6792,6183,7300,7198,7160,3317,3231,3214,4585,4509,4198,5088,4813,169,6183,6000,5650,5944.333333,7219.333333,7019.666667,0.040443943,0.072905526,0,3977,5782.333333,6938.666667,7019.666667,0.045743329,0.031539253,0.062479339,0,5782.333333,5511.666667,4430.666667,0.031539253,0.085425899,0.068535032,3977,3629,3254,0.045743329,0.090417867,0.016371971,,,,,
23,1600,3931,4127,3974,5841,6049,5647,6982,7131,6809,7110,6967,7267,3557,3626,3686,5441,5582,5449,6814,6757,6192,7288,7140,7089,3323,3268,3247,4604,4517,4222,5124,4804,169,6211,6042,5697,5983.333333,7172.333333,7114.666667,0.062452972,0.047771836,0.043704953,4010.666667,5845.666667,6974,7114.666667,0.088521813,0.096674666,0.097520661,0.043704953,5845.666667,5490.666667,4447.666667,0.096674666,0.069916297,0.081528662,4010.666667,3623,3279.333333,0.088521813,0.083933718,0.066142764,,,,,
24,1633,3904,4133,3912,5784,6016,5586,6945,7077,6773,7069,6894,7114,3538,3647,3679,5438,5605,5480,6760,6795,6180,7242,7145,7129,3330,3264,3232,4563,4505,4224,5119,4809,167,6214,5999,5634,5949,7172,7025.666667,0.043077502,0.047593583,0.002760313,3983,5795.333333,6931.666667,7025.666667,0.053367217,0.044909153,0.05553719,0.002760313,5795.333333,5507.666667,4430.666667,0.044909153,0.082471689,0.068535032,3983,3621.333333,3275.333333,0.053367217,0.082132565,0.058284217,,,,,
25,1666,3930,4132,3926,5870,6074,5637,6960,7114,6782,7095,6973,7239,3545,3648,3655,5436,5615,5462,6779,6750,6163,7307,7211,7109,3341,3255,3237,4594,4513,4237,5173,4849,174,6214,6037,5677,5976,7209,7102.333333,0.058314522,0.067379679,0.038030977,3996,5860.333333,6952,7102.333333,0.069885642,0.111758656,0.075702479,0.038030977,5860.333333,5504.333333,4448,0.111758656,0.080009847,0.081783439,3996,3616,3277.666667,0.069885642,0.076368876,0.062868369,,,,,
26,1699,3904,4128,3936,5819,6016,5609,6976,7098,6759,7060,6961,7187,3543,3635,3666,5434,5597,5456,6740,6766,6196,7198,7167,7110,3321,3246,3226,4595,4535,4188,5167,4843,167,6224,6015,5698,5979,7158.333333,7069.333333,0.060007524,0.040285205,0.022849256,3989.333333,5814.666667,6944.333333,7069.333333,0.061414655,0.064792595,0.068099174,0.022849256,5814.666667,5495.666667,4439.333333,0.064792595,0.07360906,0.075159236,3989.333333,3614.666667,3264.333333,0.061414655,0.074927954,0.036673215,,,,,
27,1732,3901,4095,3954,5836,6038,5624,6956,7106,6751,7101,6939,7239,3512,3633,3665,5431,5601,5449,6736,6775,6164,7247,7151,7113,3328,3223,3221,4632,4517,4211,5121,4801,157,6214,6050,5631,5965,7170.333333,7093,0.052106847,0.046702317,0.033737157,3983.333333,5832.666667,6937.666667,7093,0.053790767,0.083304765,0.061487603,0.033737157,5832.666667,5493.666667,4453.333333,0.083304765,0.072131955,0.085859873,3983.333333,3603.333333,3257.333333,0.053790767,0.062680115,0.02292076,,,,,
28,1765,3891,4113,3917,5825,6013,5583,6971,7085,6781,7089,6906,7154,3505,3639,3633,5409,5579,5437,6730,6749,6157,7235,7115,7105,3325,3245,3246,4607,4536,4248,5164,4858,163,6233,6016,5661,5970,7151.666667,7049.666667,0.054928518,0.036720143,0.013801564,3973.666667,5807,6945.666667,7049.666667,0.041507836,0.056907782,0.069421488,0.013801564,5807,5475,4463.666667,0.056907782,0.058345643,0.093757962,3973.666667,3592.333333,3272,0.041507836,0.050792507,0.051735429,,,,,
29,1798,3904,4121,3914,5797,6021,5588,6957,7049,6771,7047,6925,7126,3510,3625,3669,5421,5571,5463,6728,6752,6137,7234,7171,7071,3319,3244,3234,4616,4573,4232,5181,4822,163,6209,6019,5701,5976.333333,7158.666667,7032.666667,0.058502634,0.040463458,0.005980678,3979.666667,5802,6925.666667,7032.666667,0.049131724,0.051765513,0.049586777,0.005980678,5802,5485,4473.666667,0.051765513,0.065731167,0.101401274,3979.666667,3601.333333,3265.666667,0.049131724,0.060518732,0.039292731,,,,,
30,1831,3866,4103,3927,5816,6024,5644,7006,7092,6769,7096,6938,7184,3526,3624,3626,5379,5568,5425,6685,6717,6138,7262,7105,7087,3327,3251,3220,4614,4533,4251,5170,4866,161,6227,6047,5722,5998.666667,7151.333333,7072.666667,0.071106095,0.036541889,0.024382763,3965.333333,5828,6955.666667,7072.666667,0.030919102,0.078505314,0.079338843,0.024382763,5828,5457.333333,4466,0.078505314,0.045297883,0.095541401,3965.333333,3592,3266,0.030919102,0.050432277,0.03994761,,,,,
31,1864,3875,4081,3920,5788,5948,5592,6959,7057,6750,7106,6925,7176,3495,3620,3648,5397,5578,5463,6722,6723,6155,7225,7095,7068,3290,3236,3245,4621,4539,4259,5207,4838,165,6210,6055,5694,5986.333333,7129.333333,7069,0.064145974,0.024777184,0.022695906,3958.666667,5776,6922,7069,0.022448115,0.025025711,0.045950413,0.022695906,5776,5479.333333,4473,0.025025711,0.061546036,0.10089172,3958.666667,3587.666667,3257,0.022448115,0.04574928,0.022265881,,,,,
32,1897,3905,4109,3914,5799,6037,5639,6946,7093,6773,7125,6959,7221,3514,3606,3648,5388,5531,5466,6683,6732,6190,7229,7086,7078,3325,3258,3213,4657,4566,4270,5194,4891,162,6263,6073,5652,5996,7131,7101.666667,0.069601204,0.025668449,0.037724275,3976,5825,6937.333333,7101.666667,0.044472681,0.075419952,0.061157025,0.037724275,5825,5461.666667,4497.666667,0.075419952,0.048498277,0.119745223,3976,3589.333333,3265.333333,0.044472681,0.047550432,0.038637852,,,,,
33,1930,3885,4115,3943,5779,5986,5636,6945,7087,6817,7107,6933,7185,3524,3625,3649,5376,5545,5457,6712,6723,6147,7268,7096,7121,3316,3278,3271,4638,4557,4272,5183,4892,167,6275,6092,5711,6026,7161.666667,7075,0.086531226,0.042067736,0.025456218,3981,5800.333333,6949.666667,7075,0.050825921,0.050051423,0.07338843,0.025456218,5800.333333,5459.333333,4489,0.050051423,0.046774988,0.113121019,3981,3599.333333,3288.333333,0.050825921,0.058357349,0.083824492,,,,,
34,1963,3904,4084,3895,5742,5989,5617,6956,7035,6737,7115,6947,7204,3488,3600,3639,5345,5556,5448,6720,6721,6152,7263,7108,7101,3329,3255,3217,4663,4557,4250,5204,4868,160,6248,6083,5684,6005,7157.333333,7088.666667,0.074680211,0.039750446,0.031743598,3961,5782.666667,6909.333333,7088.666667,0.025412961,0.031882071,0.03338843,0.031743598,5782.666667,5449.666667,4490,0.031882071,0.039635647,0.11388535,3961,3575.666667,3267,0.025412961,0.03278098,0.041912246,,,,,
35,1996,3872,4109,3939,5792,6006,5605,6927,7083,6760,7136,6998,7178,3475,3572,3617,5349,5517,5412,6654,6687,6154,7250,7050,7075,3324,3264,3223,4625,4564,4263,5195,4849,161,6262,6069,5688,6006.333333,7125,7104,0.075432656,0.022459893,0.03879773,3973.333333,5801,6923.333333,7104,0.041084286,0.050737059,0.047272727,0.03879773,5801,5426,4484,0.050737059,0.022156573,0.109299363,3973.333333,3554.666667,3270.333333,0.041084286,0.010086455,0.048461035,,,,,
36,2029,3878,4116,3926,5770,5993,5602,6941,7021,6733,7095,6887,7219,3497,3566,3622,5352,5531,5397,6647,6680,6130,7241,7054,7102,3333,3242,3225,4658,4573,4275,5172,4855,161,6239,6081,5704,6008,7132.333333,7067,0.076373213,0.026381462,0.021775801,3973.333333,5788.333333,6898.333333,7067,0.041084286,0.037709976,0.022479339,0.021775801,5788.333333,5426.666667,4502,0.037709976,0.022648941,0.123057325,3973.333333,3561.666667,3266.666667,0.041084286,0.017651297,0.041257367,,,,,
37,2062,3886,4090,3920,5801,5993,5610,6925,7018,6763,7131,6977,7194,3472,3572,3619,5322,5505,5399,6665,6634,6116,7254,7045,7071,3282,3238,3222,4646,4543,4249,5221,4898,154,6269,6077,5694,6013.333333,7123.333333,7100.666667,0.079382995,0.021568627,0.037264223,3965.333333,5801.333333,6902,7100.666667,0.030919102,0.051079877,0.026115702,0.037264223,5801.333333,5408.666667,4479.333333,0.051079877,0.009354998,0.105732484,3965.333333,3554.333333,3247.333333,0.030919102,0.009726225,0.003274394,,,,,
38,2095,3892,4046,3885,5743,5950,5562,6924,7036,6713,7056,6919,7200,3452,3580,3604,5314,5519,5413,6675,6664,6124,7228,7091,7070,3304,3238,3195,4640,4550,4270,5202,4860,157,6286,6077,5698,6020.333333,7129.666667,7058.333333,0.083333333,0.024955437,0.017788683,3941,5751.666667,6891,7058.333333,0,0,0.015206612,0.017788683,5751.666667,5415.333333,4486.666667,0,0.01427868,0.11133758,3941,3545.333333,3245.666667,0,0,0,,,,,
39,2128,3875,4083,3915,5804,5986,5632,6952,7038,6756,7112,6941,7212,3488,3573,3601,5319,5507,5406,6650,6673,6089,7245,7070,7054,3329,3235,3227,4632,4573,4279,5208,4892,155,6277,6083,5725,6028.333333,7123,7088.333333,0.087848006,0.021390374,0.031590247,3957.666667,5807.333333,6915.333333,7088.333333,0.021177467,0.0572506,0.039338843,0.031590247,5807.333333,5410.666667,4494.666667,0.0572506,0.010832102,0.117452229,3957.666667,3554,3263.666667,0.021177467,0.009365994,0.035363458,,,,,
40,2161,3875,4073,3892,5768,5942,5635,6896,6979,6752,7092,6918,7158,3467,3581,3618,5315,5500,5373,6635,6652,6065,7208,7050,6991,3311,3259,3228,4630,4596,4247,5198,4894,153,6270,6052,5695,6005.666667,7083,7056,0.075056433,0,0.016715228,3946.666667,5781.666667,6875.666667,7056,0.007200339,0.030853617,0,0.016715228,5781.666667,5396,4491,0.030853617,0,0.114649682,3946.666667,3555.333333,3266,0.007200339,0.010806916,0.03994761,,,,,
